Room Number,Guest Name
0501,Zheng Bo
0502,Cai Jing
0503,Charlotte Harris
0504,Huang Mei
0505,ミヤモト ジュン
0506,Lucas Garcia
0507,Guo Ming
0508,Chen Jie
0509,サトウ ショウ
0510,Chloe King
0511,Ella Green
0512,Guo Ming
0513,Grace Hall
0514,Noah Allen
0515,Qian Min
0516,Logan Scott
0517,Han Qi
0518,ハセガワ ナツキ
0519,James Taylor
0520,Sophia Miller
0521,Ryan Nelson
0522,サトウ ショウ
0523,Ava Jackson
0524,Shen Hao
0525,Jessica Davis
0601,Qian Min
0602,Lin Hao
0603,Jacob Adams
0604,Harper Lewis
0605,Isabella Clark
0606,Qian Min
0607,Qian Min
0608,Lucas Garcia
0609,ナガイ ヒトミ
0610,William Thomas
0611,Alexander Rodriguez
0612,Grace Hall
0613,Jacob Adams
0614,Zoe Baker
0615,Mia Martinez
0616,Emily Johnson
0617,Wang Wei
0618,Zhang Wei
0619,Chen Jie
0620,オオタ アユミ
0621,Ella Green
0622,ウエダ カナ
0623,Chloe King
0624,Henry Martin
0625,Grace Hall
0701,カトウ タケシ
0702,Ryan Nelson
0703,Charlotte Harris
0704,Li Na
0705,Isabella Clark
0706,オオタ アユミ
0707,Mia Martinez
0708,Charlotte Harris
0709,Logan Scott
0710,Zheng Bo
0711,Henry Martin
0712,Ella Green
0713,Ryan Nelson
0714,Zheng Bo
0715,Han Qi
0716,Zhou Yan
0717,Ava Jackson
0718,Liu Yang
0719,Shen Hao
0720,Qian Min
0721,タムラ レイ
0722,Cai Jing
0723,Chen Jie
0724,Ma Lin
0725,Charlotte Harris
0801,Ella Green
0802,Sun Lei
0803,Liam Young
0804,Li Na
0805,Ethan Robinson
0806,Tang Rui
0807,Daniel Wilson
0808,Olivia Anderson
0809,Henry Martin
0810,David Walker
0811,Yang Xin
0812,Fang Yu
0813,Liu Yang
0814,Benjamin White
0815,Benjamin White
0816,Wang Wei
0817,Li Na
0818,Liam Young
0819,Wu Ping
0820,John Smith
0821,Shen Hao
0822,James Taylor
0823,Daniel Wilson
0824,Xu Lan
0825,Daniel Wilson
0901,Wang Wei
0902,Liam Young
0903,David Walker
0904,Chen Jie
0905,Logan Scott
0906,Grace Hall
0907,ナカムラ リョウ
0908,Amelia Thompson
0909,Liu Yang
0910,Gao Fei
0911,Jessica Davis
0912,Alexander Rodriguez
0913,ハヤシ ジュン
0914,Noah Allen
0915,Qian Min
0916,He Jun
0917,Li Na
0918,Sun Lei
0919,Lucas Garcia
0920,Alexander Rodriguez
0921,カトウ タケシ
0922,Gao Fei
0923,Alexander Rodriguez
0924,Qian Min
0925,Gao Fei
1001,Sophia Miller
1002,Qian Min
1003,Han Qi
1004,Isabella Clark
1005,Amelia Thompson
1006,Zhou Yan
1007,Han Qi
1008,Sun Lei
1009,Deng Hui
1010,Lin Hao
1011,Alexander Rodriguez
1012,Liu Yang
1013,Li Na
1014,ワタナベ ユウコ
1015,Zhang Wei
1016,Ava Jackson
1017,Charlotte Harris
1018,Michael Brown
1019,James Taylor
1020,Logan Scott
1021,Xu Lan
1022,オオシマ リョウコ
1023,Xu Lan
1024,Li Na
1025,Chen Jie
1101,Isabella Clark
1102,Ethan Robinson
1103,Huang Mei
1104,Han Qi
1105,Zhou Yan
1106,Amelia Thompson
1107,タカハシ ミホ
1108,Isabella Clark
1109,ハヤシ ジュン
1110,James Taylor
1111,Xu Lan
1112,Gao Fei
1113,Benjamin White
1114,Henry Martin
1115,カトウ タケシ
1116,Shen Hao
1117,Han Qi
1118,John Smith
1119,Wang Wei
1120,Fang Yu
1121,Mia Martinez
1122,Wu Ping
1123,Emily Johnson
1124,Chen Jie
1125,Grace Hall
1201,Isabella Clark
1202,Jacob Adams
